id,type,name,parent_id/id,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
product_category_sa_Kleininvestitionendivers(<Fr.1500),normal,Kleininvestitionen divers (< Fr. 1500),product_category_sa_AnschaffungenProduktion,6009,6009,6009,6009,6009
product_category_sa_KleininvestitionenLagerbis(<Fr.1500),normal,Kleininvestitionen Lager bis (< Fr. 1500),product_category_sa_AnschaffungenProduktion,6003,6003,6003,6003,6003
product_category_sa_Lagermobiliar/Lagereinrichtung,normal,"Lagermobiliar, Lagereinrichtung",product_category_sa_AnschaffungenProduktion,1550,1550,1550,1550,1550
product_category_sa_Büromaterial,normal,Büromaterial,product_category_sa_BüroundVerwaltung,6500,6500,6500,6500,6500
product_category_sa_Kehrricht,normal,Kehrricht,product_category_sa_BüroundVerwaltung,6460,6460,6460,6460,6460
product_category_sa_Reinigung/Reinigungsmaterial,normal,Reinigung/Reinigungsmaterial,product_category_sa_BüroundVerwaltung,6040,6040,6040,6040,6040
product_category_sa_ÜbrigerBüroaufwand,normal,Übriger Büroaufwand,product_category_sa_BüroundVerwaltung,6500,6500,6500,6500,6500
product_category_sa_VerpflegungMitarbeiterLOG,normal,Verpflegung Mitarbeiter LOG,product_category_sa_BüroundVerwaltung,5840,5840,5840,5840,5840
product_category_sa_BeschriftungEtiketten,normal,Beschriftung Etiketten,product_category_sa_Hilfsmaterial,4016,4016,4016,4016,4016
product_category_sa_EinkaufHilfsmaterial,normal,Einkauf Hilfsmaterial,product_category_sa_Hilfsmaterial,4008,4008,4008,4008,4008
product_category_sa_Verpackungsmaterial,normal,Verpackungsmaterial,product_category_sa_Hilfsmaterial,4015,4015,4015,4015,4015
product_category_sa_Ausbildungsmaterial,normal,Ausbildungsmaterial,product_category_sa_MessenundAusbildungLOG,6621,6621,6621,6621,6621
product_category_sa_Messematerial/Dienstleistungen,normal,Messematerial/Dienstleistungen,product_category_sa_MessenundAusbildungLOG,6620,6620,6620,6620,6620
product_category_sa_Mietzins/Büromobilien,normal,Mietzins/Büromobilien,product_category_sa_Unterhalt/ReparaturenLOG,6105,6105,6105,6105,6105
product_category_sa_Unterhalt/ReparaturBüro,normal,"Unterhalt, Reparatur Büro",product_category_sa_Unterhalt/ReparaturenLOG,6102,6102,6102,6102,6102
product_category_sa_Unterhalt/Reparaturdivers,normal,"Unterhalt, Reparatur divers",product_category_sa_Unterhalt/ReparaturenLOG,6109,6109,6109,6109,6109
product_category_sa_Unterhalt/ReparaturLager,normal,"Unterhalt, Reparatur Lager",product_category_sa_Unterhalt/ReparaturenLOG,6101,6101,6101,6101,6101
product_category_sa_Unterhalt/ReparaturFahrzeuge,normal,"Unterhalt, Reparatur Fahrzeuge",product_category_sa_Unterhalt/ReparaturenLOG,6200,6200,6200,6200,6200
product_category_sa_Eingangsfrachten,normal,Eingangsfrachten,product_category_sa_Wareneingang,4070,4070,4070,4070,4070
product_category_sa_Eingangsspedition,normal,Eingangsspedition,product_category_sa_Wareneingang,4072,4072,4072,4072,4072
product_category_sa_Eingangzölle,normal,Einfuhrzölle IL,product_category_sa_Wareneingang,4071,4071,4071,4071,4071
product_category_sa_zollbeg,normal,Einfuhrzölle BEG,product_category_sa_Wareneingang,4271,4271,4271,4271,4271
product_category_sa_zolldivers,normal,Einfuhrzölle divers,product_category_sa_Wareneingang,4701,4701,4701,4701,4701
product_category_sa_Rabatte/PreisnachlässeP,normal,"Rabatte, Preisnachlässe Produktion",product_category_sa_Einkaufspreisminderungen,4091,4091,4091,4091,4091
product_category_sa_Rabatte/PreisnachlässeH,normal,"Rabatte, Preisnachlässe Handel",product_category_sa_Einkaufspreisminderungen,4291,4291,4291,4291,4291
product_category_sa_Rabatte/SkontiP,normal,Skonti Produktion,product_category_sa_Einkaufspreisminderungen,4090,4090,4090,4090,4090
product_category_sa_Rabatte/SkontiH,normal,Skonti Handel,product_category_sa_Einkaufspreisminderungen,4290,4290,4290,4290,4290
product_category_sa_Rabatte/UmsatzrückP,normal,Umsatzrückvergütungen Produktion,product_category_sa_Einkaufspreisminderungen,4092,4092,4092,4092,4092
product_category_sa_Rabatte/UmsatzrückH,normal,Umsatzrückvergütungen Handel,product_category_sa_Einkaufspreisminderungen,4292,4292,4292,4292,4292
product_category_sa_Rabatte/KursdiffP,normal,Kursdifferenzen Produktion,product_category_sa_Einkaufspreisminderungen,4096,4096,4096,4096,4096
product_category_sa_Rabatte/KursdiffH,normal,Kursdifferenzen Handel,product_category_sa_Einkaufspreisminderungen,4296,4296,4296,4296,4296
product_category_sa_Marketing,view,SA/MA - Marketing,scenario.product_category_sa_EKDIV,,,,,
product_category_sa_BeratungundAnalyse,view,Beratung und Analyse,product_category_sa_Marketing,,,,,
product_category_sa_MessenundAusbildungMA,view,Messen und Ausbildung MA,product_category_sa_Marketing,,,,,
product_category_sa_Mitgliedschaften,view,Mitgliedschaften,product_category_sa_Marketing,,,,,
product_category_sa_Publikationen,view,Publikationen,product_category_sa_Marketing,,,,,
product_category_sa_Marktanalysen,normal,Marktanalysen,product_category_sa_BeratungundAnalyse,6681,6681,6681,6681,6681
product_category_sa_Werbeberatung,normal,Werbeberatung,product_category_sa_BeratungundAnalyse,6680,6680,6680,6680,6680
product_category_sa_Fachmessen/Ausstellungen,normal,"Fachmessen, Ausstellungen",product_category_sa_MessenundAusbildungMA,6620,6620,6620,6620,6620
product_category_sa_Schulungs-undAusbildungsmaterialMA,normal,Schulungs- und Ausbildungsmaterial MA,product_category_sa_MessenundAusbildungMA,6621,6621,6621,6621,6621
product_category_sa_Datenbank-Mitgliedschaften,normal,Datenbank-Mitgliedschaften,product_category_sa_Mitgliedschaften,6662,6662,6662,6662,6662
product_category_sa_Marketing-Mitgliedschaften,normal,Marketing-Mitgliedschaften,product_category_sa_Mitgliedschaften,6663,6663,6663,6663,6663
product_category_sa_Sponsoring,normal,Sponsoring,product_category_sa_Publikationen,6661,6661,6661,6661,6661
product_category_sa_Werbeeinträge,normal,Werbeeinträge,product_category_sa_Publikationen,6660,6660,6660,6660,6660
product_category_sa_Werbedrucksachen,normal,Werbedrucksachen,product_category_sa_Marketing,6610,6610,6610,6610,6610
product_category_sa_Inserate,normal,Inserate,product_category_sa_Werbedrucksachen,6600,6600,6600,6600,6600
product_category_sa_PublikationeninFachzeitschriften,normal,Publikationen in Fachzeitschriften,product_category_sa_Werbedrucksachen,6601,6601,6601,6601,6601
product_category_sa_Reklameartikel/Muster,normal,"Reklameartikel, Muster",product_category_sa_Werbedrucksachen,6611,6611,6611,6611,6611
product_category_sa_Übersetzungen,normal,Übersetzungen,product_category_sa_Werbedrucksachen,6613,6613,6613,6613,6613
product_category_sa_Versand-undVerpackungsspesenfürWerbeversände,normal,Versand- und Verpackungsspesen für Werbeversände,product_category_sa_Werbedrucksachen,6612,6612,6612,6612,6612
product_category_sa_Werbedrucksachen/Werbematerial,normal,"Werbedrucksachen, Werbematerial",product_category_sa_Werbedrucksachen,6610,6610,6610,6610,6610
product_category_sa_OperationsInformatik,view,SA/IS - Informatik,scenario.product_category_sa_EKDIV,,,,,
product_category_sa_IS,view,IS,product_category_sa_OperationsInformatik,,,,,
product_category_sa_IT,view,IT,product_category_sa_OperationsInformatik,,,,,
product_category_sa_Nst,view,Nst,product_category_sa_OperationsInformatik,,,,,
product_category_sa_BeratungsdienstleistungIS,normal,Beratungsdienstleistung IS,product_category_sa_IS,6580,6580,6580,6580,6580
product_category_sa_Schulung/Erstausbildung,normal,"Schulung, Erstausbildung",product_category_sa_IS,6582,6582,6582,6582,6582
product_category_sa_AnschaffungIS,normal,Anschaffung IS,product_category_sa_IS,1521,1521,1521,1521,1521
product_category_sa_MieteIS,normal,Miete IS,product_category_sa_IS,6563,6563,6563,6563,6563
product_category_sa_WartungIS,normal,Wartung IS,product_category_sa_IS,6572,6572,6572,6572,6572
product_category_sa_SupportIS,normal,Support IS,product_category_sa_IS,6572,6572,6572,6572,6572
product_category_sa_BeratungsdienstleistungIT,normal,Beratungsdienstleistung IT,product_category_sa_IT,6580,6580,6580,6580,6580
product_category_sa_Hosting,normal,Hosting,product_category_sa_IT,6564,6564,6564,6564,6564
product_category_sa_SchulungIT,normal,Schulung IT,product_category_sa_IT,6582,6582,6582,6582,6582
product_category_sa_AnschaffungIT,normal,Anschaffung IT,product_category_sa_IT,1520,1520,1520,1520,1520
product_category_sa_MieteIT,normal,Miete IT,product_category_sa_IT,6562,6562,6562,6562,6562
product_category_sa_WartungIT,normal,Wartung IT,product_category_sa_IT,6571,6571,6571,6571,6571
product_category_sa_Disketten/CD/Tape/Verbrauchsmaterial,normal,"Disketten, CD, Tape, Verbrauchsmaterial",product_category_sa_IT,6573,6573,6573,6573,6573
